Datetime,Price
12-Jun-20,9468.3
11-Jun-20,9272.2
10-Jun-20,9898.8
9-Jun-20,9770.8
8-Jun-20,9783.2
7-Jun-20,9746.3
6-Jun-20,9668.4
5-Jun-20,9620.5
4-Jun-20,9790.7
3-Jun-20,9672
2-Jun-20,9530
1-Jun-20,10221
31-May-20,9452.1
30-May-20,9706.4
29-May-20,9426.2
28-May-20,9589.3
27-May-20,9210.3
26-May-20,8845.5
25-May-20,8902
24-May-20,8711.5
23-May-20,9174.6
22-May-20,9162.4
21-May-20,9059.5
20-May-20,9502
19-May-20,9770.1
18-May-20,9714.8
17-May-20,9668.2
16-May-20,9388
15-May-20,9313.3
14-May-20,9791
13-May-20,9312
12-May-20,8811.4
11-May-20,8555
10-May-20,8726
9-May-20,9537.9
8-May-20,9792.8
7-May-20,9979.6
6-May-20,9157.9
5-May-20,9020.1
4-May-20,8865.8
3-May-20,8899.8
2-May-20,8982.3
1-May-20,8822.9
30-Apr-20,8635.3
29-Apr-20,8773.3
28-Apr-20,7755.8
27-Apr-20,7777.7
26-Apr-20,7697.1
25-Apr-20,7538.5
24-Apr-20,7506.8
23-Apr-20,7495.2
22-Apr-20,7133
21-Apr-20,6850
20-Apr-20,6841.9
19-Apr-20,7133.3
18-Apr-20,7269.1
17-Apr-20,7045.8
16-Apr-20,7114.9
15-Apr-20,6633.8
14-Apr-20,6872.4
13-Apr-20,6848.7
12-Apr-20,6913
11-Apr-20,6884.5
10-Apr-20,6875.5
9-Apr-20,7293.5
8-Apr-20,7367
7-Apr-20,7203
6-Apr-20,7346
5-Apr-20,6778
4-Apr-20,6881.6
3-Apr-20,6740.8
2-Apr-20,6818.3
1-Apr-20,6675
31-Mar-20,6427.7
30-Mar-20,6407.6
29-Mar-20,5892.6
28-Mar-20,6249.3
27-Mar-20,6370
26-Mar-20,6750.7
25-Mar-20,6688.2
24-Mar-20,6762
23-Mar-20,6491.2
22-Mar-20,5827
21-Mar-20,6201.8
20-Mar-20,6205.8
19-Mar-20,6173.4
18-Mar-20,5416.2
17-Mar-20,5345.2
16-Mar-20,5058.5
15-Mar-20,5383.2
14-Mar-20,5218.2
13-Mar-20,5625.4
12-Mar-20,4927
11-Mar-20,7969.6
10-Mar-20,7913.8
9-Mar-20,7967.3
8-Mar-20,8074
7-Mar-20,8919
6-Mar-20,9180.6
5-Mar-20,9090.8
4-Mar-20,8788.6
3-Mar-20,8791.1
2-Mar-20,8938.1
1-Mar-20,8565.2
29-Feb-20,8557.3
28-Feb-20,8728
27-Feb-20,8825.8
26-Feb-20,8813.2
25-Feb-20,9327.5
24-Feb-20,9674.1
23-Feb-20,9985
22-Feb-20,9662.4
21-Feb-20,9693.5
20-Feb-20,9608.1
19-Feb-20,9592.2
18-Feb-20,10183
17-Feb-20,9708
16-Feb-20,9929.7
15-Feb-20,9901
14-Feb-20,10335
13-Feb-20,10222
12-Feb-20,10339
11-Feb-20,10247
10-Feb-20,9850.2
9-Feb-20,10151
8-Feb-20,9877.2
7-Feb-20,9805.2
6-Feb-20,9744.9
5-Feb-20,9612
4-Feb-20,9197.4
3-Feb-20,9309.3
2-Feb-20,9353.1
1-Feb-20,9410.6
31-Jan-20,9367.4
30-Jan-20,9512.7
29-Jan-20,9304.2
28-Jan-20,9393.7
27-Jan-20,8912
26-Jan-20,8621.6
25-Jan-20,8353.7
24-Jan-20,8447.1
23-Jan-20,8403.5
22-Jan-20,8663.9
21-Jan-20,8734.1
20-Jan-20,8638.2
19-Jan-20,8694
18-Jan-20,8891.5
17-Jan-20,8875.4
16-Jan-20,8720.6
15-Jan-20,8807.7
14-Jan-20,8775.6
13-Jan-20,8094.5
12-Jan-20,8174.7
11-Jan-20,8013.8
10-Jan-20,8176.3
